UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
805,P00805,M,300.86,311.64,1521.0,38.12,214,1,Machine Failure
806,P00806,M,301.39,309.06,1112.0,51.93,159,0,No Failure
807,P00807,H,300.35,308.02,1291.0,50.22,137,0,No Failure
808,P00808,H,299.27,309.7,1225.0,49.19,10,0,No Failure
809,P00809,M,298.34,308.8,1872.0,35.4,101,0,No Failure
810,P00810,L,300.17,309.9,1381.0,29.2,69,0,No Failure
811,P00811,H,297.86,311.86,1821.0,33.86,122,0,No Failure
812,P00812,H,294.16,309.31,1681.0,41.96,232,1,Machine Failure
813,P00813,L,300.87,309.94,2191.0,45.46,189,1,Machine Failure
814,P00814,H,301.81,310.09,1056.0,18.28,174,0,No Failure
815,P00815,H,295.27,311.27,1878.0,39.92,33,0,No Failure
816,P00816,M,297.98,306.63,1844.0,41.58,227,1,Machine Failure
817,P00817,M,301.24,309.09,1208.0,37.22,100,0,No Failure
818,P00818,L,304.11,310.32,1802.0,52.91,144,0,No Failure
819,P00819,L,300.04,311.8,1601.0,44.22,231,1,Machine Failure
820,P00820,L,298.54,309.26,1432.0,53.1,103,0,No Failure
821,P00821,H,299.63,307.19,1253.0,37.84,181,0,No Failure
822,P00822,L,302.75,310.93,1284.0,49.37,203,1,Machine Failure
823,P00823,L,298.71,309.05,2115.0,56.35,212,1,Machine Failure
824,P00824,L,298.4,308.22,1500.0,53.12,39,0,No Failure
825,P00825,M,299.03,309.06,1735.0,29.08,18,0,No Failure
826,P00826,H,298.09,309.72,1263.0,37.46,66,0,No Failure
827,P00827,L,300.25,309.09,1266.0,36.55,81,0,No Failure
828,P00828,L,303.25,306.69,1825.0,44.89,180,0,No Failure
829,P00829,M,300.65,311.35,1095.0,46.86,242,1,Machine Failure
830,P00830,M,299.5,311.91,1375.0,31.61,63,0,No Failure
831,P00831,L,299.42,310.98,1510.0,40.68,82,0,No Failure
832,P00832,M,296.87,308.29,1533.0,19.8,46,0,No Failure
833,P00833,L,301.77,309.7,1446.0,54.42,5,0,No Failure
834,P00834,L,299.84,309.99,1619.0,34.88,15,0,No Failure
835,P00835,M,299.64,310.9,1708.0,40.56,199,0,No Failure
836,P00836,M,306.39,311.0,1720.0,36.9,239,1,Machine Failure
837,P00837,H,300.6,308.9,1204.0,51.46,145,0,No Failure
838,P00838,L,298.5,310.12,1415.0,11.62,179,0,No Failure
839,P00839,M,299.15,310.69,1858.0,39.83,175,0,No Failure
840,P00840,M,302.3,312.18,1768.0,38.94,170,0,No Failure
841,P00841,L,300.23,311.06,1088.0,35.46,38,0,No Failure
842,P00842,M,297.12,311.18,1605.0,57.26,176,1,Machine Failure
843,P00843,L,301.84,310.13,907.0,31.13,112,0,No Failure
844,P00844,H,298.66,312.12,1514.0,47.72,139,0,No Failure
845,P00845,L,303.75,310.61,2069.0,43.56,236,1,Machine Failure
846,P00846,M,302.16,308.71,1216.0,52.62,137,0,No Failure
847,P00847,L,299.11,312.11,1250.0,33.33,70,0,No Failure
848,P00848,H,302.56,311.05,1729.0,32.67,109,0,No Failure
849,P00849,M,300.14,309.34,1037.0,50.96,54,0,No Failure
850,P00850,M,301.71,309.28,1310.0,44.25,128,0,No Failure
851,P00851,L,300.97,310.44,1679.0,24.55,48,0,No Failure
852,P00852,M,298.31,310.69,1310.0,34.61,163,0,No Failure
853,P00853,L,298.71,310.3,1429.0,43.86,20,0,No Failure
854,P00854,H,302.06,310.47,1723.0,48.38,36,0,No Failure
855,P00855,L,299.33,312.55,1626.0,33.21,115,0,No Failure
856,P00856,L,299.19,311.61,1580.0,10.86,23,0,No Failure
857,P00857,L,298.09,310.29,1398.0,45.23,54,0,No Failure
858,P00858,M,300.85,311.41,1611.0,27.8,24,0,No Failure
859,P00859,M,304.13,308.45,1463.0,19.83,134,0,No Failure
860,P00860,L,297.86,310.6,1637.0,11.68,126,0,No Failure
861,P00861,M,300.05,312.71,1351.0,48.14,233,1,Machine Failure
862,P00862,M,302.82,309.67,1445.0,41.29,208,1,Machine Failure
863,P00863,M,299.84,308.73,1203.0,37.74,92,0,No Failure
864,P00864,M,300.9,309.02,1489.0,53.89,93,0,No Failure
865,P00865,M,297.88,308.37,1257.0,46.37,70,0,No Failure
866,P00866,M,300.86,308.82,1166.0,56.16,224,1,Machine Failure
867,P00867,L,299.63,309.44,1578.0,26.07,198,0,No Failure
868,P00868,L,301.97,307.89,1564.0,39.65,121,0,No Failure
869,P00869,H,302.37,310.02,1735.0,23.83,23,0,No Failure
870,P00870,H,305.18,311.35,1371.0,37.71,10,0,No Failure
871,P00871,L,301.16,308.64,1622.0,37.51,72,0,No Failure
872,P00872,L,300.65,312.28,1665.0,46.27,11,0,No Failure
873,P00873,M,300.39,310.77,1633.0,40.46,34,0,No Failure
874,P00874,M,299.29,311.55,1252.0,46.23,190,0,No Failure
875,P00875,L,300.68,309.01,1545.0,47.03,195,0,No Failure
876,P00876,L,299.41,311.28,1609.0,61.55,227,1,Machine Failure
877,P00877,M,300.34,308.36,1502.0,36.85,219,1,Machine Failure
878,P00878,M,302.64,311.34,874.0,30.59,184,0,No Failure
879,P00879,L,297.99,310.26,1548.0,42.46,140,0,No Failure
880,P00880,L,302.28,310.83,2164.0,31.98,22,1,Machine Failure
881,P00881,L,302.63,308.24,1392.0,54.82,82,0,No Failure
882,P00882,M,299.76,308.66,1282.0,37.17,233,1,Machine Failure
883,P00883,L,295.76,310.9,1612.0,34.34,228,1,Machine Failure
884,P00884,L,298.78,308.58,1594.0,35.29,166,0,No Failure
885,P00885,M,302.59,310.69,1858.0,47.18,87,0,No Failure
886,P00886,L,299.95,307.95,1123.0,38.42,79,0,No Failure
887,P00887,M,298.0,311.27,1719.0,33.58,96,0,No Failure
888,P00888,L,298.99,308.15,1677.0,56.65,139,1,Machine Failure
889,P00889,L,301.68,310.83,1457.0,31.44,33,0,No Failure
890,P00890,L,301.09,310.94,1602.0,40.36,198,0,No Failure
891,P00891,M,299.52,308.95,1809.0,46.52,74,0,No Failure
892,P00892,H,299.27,310.87,1762.0,23.69,158,0,No Failure
893,P00893,H,299.22,310.39,1157.0,44.8,220,1,Machine Failure
894,P00894,L,298.16,309.19,1746.0,29.45,127,0,No Failure
895,P00895,M,303.23,308.49,1481.0,48.23,189,0,No Failure
896,P00896,L,299.36,307.06,1522.0,30.37,140,0,No Failure
897,P00897,L,302.43,310.52,1522.0,46.93,30,0,No Failure
898,P00898,H,303.04,307.65,1455.0,51.06,129,0,No Failure
899,P00899,L,302.0,310.14,1858.0,48.61,102,0,No Failure
900,P00900,L,299.14,309.6,1475.0,42.51,14,0,No Failure
901,P00901,L,300.81,311.02,1164.0,37.69,56,0,No Failure
902,P00902,L,299.95,309.55,1382.0,34.24,74,0,No Failure
903,P00903,L,298.19,309.51,1554.0,54.71,33,0,No Failure
904,P00904,M,300.65,311.1,1869.0,33.01,102,0,No Failure
905,P00905,M,297.64,310.5,1681.0,29.63,195,0,No Failure
906,P00906,H,302.38,310.47,1245.0,46.65,74,0,No Failure
907,P00907,H,299.07,310.7,2246.0,32.04,28,1,Machine Failure
908,P00908,L,300.4,307.7,1579.0,30.5,193,0,No Failure
909,P00909,L,300.57,311.14,1883.0,25.56,15,0,No Failure
910,P00910,L,299.48,310.92,1454.0,35.17,166,0,No Failure
911,P00911,M,301.17,308.47,1660.0,39.17,76,0,No Failure
912,P00912,L,299.05,309.63,1752.0,42.43,36,0,No Failure
913,P00913,M,301.74,309.94,1865.0,49.51,80,0,No Failure
914,P00914,M,297.31,309.8,1817.0,45.27,148,0,No Failure
915,P00915,M,300.25,310.5,1762.0,38.09,171,0,No Failure
916,P00916,M,303.88,312.15,1405.0,38.02,123,0,No Failure
917,P00917,L,298.0,311.62,1328.0,45.1,18,0,No Failure
918,P00918,H,298.64,308.03,1600.0,52.73,198,0,No Failure
919,P00919,M,301.03,310.93,1780.0,41.26,101,0,No Failure
920,P00920,L,300.36,311.99,1433.0,35.31,135,0,No Failure
921,P00921,H,300.7,310.58,1820.0,30.07,76,0,No Failure
922,P00922,M,300.98,311.64,1936.0,25.55,228,1,Machine Failure
923,P00923,H,301.27,313.02,1225.0,46.66,193,0,No Failure
924,P00924,M,302.22,311.54,1249.0,45.78,40,0,No Failure
925,P00925,M,300.82,310.37,1458.0,45.77,202,1,Machine Failure
926,P00926,L,299.52,311.57,1592.0,38.71,215,1,Machine Failure
927,P00927,L,301.35,310.22,1343.0,54.07,197,0,No Failure
928,P00928,M,303.8,310.04,1906.0,35.16,60,0,No Failure
929,P00929,M,299.73,309.47,1627.0,49.55,25,0,No Failure
930,P00930,L,298.05,312.35,1512.0,39.61,70,0,No Failure
931,P00931,L,302.21,308.77,1069.0,33.92,248,1,Machine Failure
932,P00932,H,299.76,312.3,1105.0,45.93,102,0,No Failure
933,P00933,H,295.65,310.75,1584.0,44.1,210,1,Machine Failure
934,P00934,M,301.69,307.9,860.0,43.57,69,0,No Failure
935,P00935,L,298.93,310.55,1804.0,40.81,106,0,No Failure
936,P00936,L,299.82,306.85,1453.0,39.62,156,0,No Failure
937,P00937,L,300.66,310.94,2473.0,63.88,106,1,Machine Failure
938,P00938,H,300.38,311.33,2192.0,51.84,102,1,Machine Failure
939,P00939,L,301.42,309.11,1446.0,47.23,193,0,No Failure
940,P00940,M,299.13,310.19,1468.0,41.12,18,0,No Failure
941,P00941,L,301.03,312.93,1799.0,50.07,67,0,No Failure
942,P00942,M,299.48,309.24,2011.0,45.18,185,1,Machine Failure
943,P00943,M,301.48,308.41,1009.0,40.26,69,0,No Failure
944,P00944,H,301.23,312.22,964.0,36.96,112,0,No Failure
945,P00945,L,298.13,312.94,1313.0,39.19,56,0,No Failure
946,P00946,L,302.17,310.01,1675.0,8.3,164,0,No Failure
947,P00947,L,298.93,311.52,1649.0,42.11,60,0,No Failure
948,P00948,H,301.62,312.01,1821.0,35.12,91,0,No Failure
949,P00949,H,300.73,308.89,1140.0,55.93,29,1,Machine Failure
950,P00950,M,303.68,309.27,805.0,40.19,198,0,No Failure
951,P00951,M,299.55,311.85,1757.0,28.11,200,0,No Failure
952,P00952,M,299.3,312.53,1252.0,39.5,152,0,No Failure
953,P00953,L,299.96,310.84,894.0,29.54,224,1,Machine Failure
954,P00954,H,299.39,308.68,1544.0,44.73,126,0,No Failure
955,P00955,M,301.6,312.98,1738.0,42.91,192,0,No Failure
956,P00956,L,296.77,309.2,1463.0,49.58,114,0,No Failure
957,P00957,M,297.89,309.5,1363.0,32.09,5,0,No Failure
958,P00958,L,297.86,310.51,1452.0,40.34,17,0,No Failure
959,P00959,L,301.9,312.33,1389.0,26.35,9,0,No Failure
960,P00960,M,303.42,311.28,1096.0,47.01,91,0,No Failure
961,P00961,L,299.79,310.62,1286.0,45.19,138,0,No Failure
962,P00962,M,299.66,310.69,1656.0,44.96,224,1,Machine Failure
963,P00963,L,300.14,310.07,1597.0,40.02,192,0,No Failure
964,P00964,L,302.32,310.84,1550.0,44.15,76,0,No Failure
965,P00965,L,298.15,306.21,1201.0,56.04,100,1,Machine Failure
966,P00966,L,300.48,309.56,1446.0,37.15,83,0,No Failure
967,P00967,M,301.95,310.36,847.0,41.39,192,0,No Failure
968,P00968,L,301.0,308.27,1554.0,29.14,51,0,No Failure
969,P00969,M,300.38,310.58,1929.0,31.32,194,0,No Failure
970,P00970,M,302.0,309.69,1058.0,40.98,209,1,Machine Failure
971,P00971,M,294.59,312.63,1324.0,51.04,232,1,Machine Failure
972,P00972,H,301.36,312.36,1599.0,37.44,205,1,Machine Failure
973,P00973,M,298.69,309.3,1876.0,37.64,30,0,No Failure
974,P00974,L,296.34,309.77,1366.0,35.93,218,1,Machine Failure
975,P00975,L,301.02,309.89,1292.0,34.65,144,0,No Failure
976,P00976,L,302.75,309.32,909.0,42.95,182,0,No Failure
977,P00977,M,299.73,310.29,1531.0,25.03,109,0,No Failure
978,P00978,L,301.91,308.86,2113.0,52.81,92,1,Machine Failure
979,P00979,M,303.22,308.3,1583.0,33.35,163,0,No Failure
980,P00980,M,302.63,310.93,1493.0,47.22,228,1,Machine Failure
981,P00981,L,303.28,310.94,1597.0,27.3,153,0,No Failure
982,P00982,M,301.48,308.79,1497.0,46.69,52,0,No Failure
983,P00983,L,300.15,311.34,1256.0,46.72,144,0,No Failure
984,P00984,L,296.8,309.05,1747.0,43.84,85,0,No Failure
985,P00985,M,299.51,310.38,1568.0,30.06,152,0,No Failure
986,P00986,M,298.31,311.23,1505.0,42.5,1,0,No Failure
987,P00987,M,304.34,309.95,1207.0,28.17,246,1,Machine Failure
988,P00988,M,299.65,310.68,1891.0,37.47,85,0,No Failure
989,P00989,L,300.25,309.23,1699.0,50.29,132,0,No Failure
990,P00990,H,301.1,309.71,1334.0,47.97,3,0,No Failure
991,P00991,M,300.09,309.69,1801.0,40.15,163,0,No Failure
992,P00992,M,303.39,308.88,1351.0,30.25,5,0,No Failure
993,P00993,L,298.75,309.73,1265.0,46.46,243,1,Machine Failure
994,P00994,M,300.39,307.68,1272.0,40.19,148,0,No Failure
995,P00995,L,298.52,309.26,969.0,16.8,204,1,Machine Failure
996,P00996,L,297.36,309.57,1641.0,47.83,117,0,No Failure
997,P00997,H,298.78,309.62,951.0,39.76,228,1,Machine Failure
998,P00998,L,299.93,309.64,1131.0,52.02,246,1,Machine Failure
999,P00999,H,299.14,309.91,877.0,29.05,88,0,No Failure
1000,P01000,M,298.62,310.72,1474.0,8.23,153,0,No Failure
